,LearningPathUid_x,Title_x,LiveUrl,TotalModules,Certification,Title_y,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels
12,learn.wwl.describe-capabilities-of-microsoft-security-solutions,SC-900 part 3: Describe the capabilities of Microsoft security solutions ,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-security-solutions/,6,sc-900,SC-900 part 3: Describe the capabilities of Microsoft security solutions,6.0,"4,870","105,216",26.84%,"3,703",994,"1,095",4173,48.42347365,"1,312",136.0,learn.wwl.describe-capabilities-of-microsoft-security-solutions,business-user;student,azure;m365,beginner
13,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,SC-900 part 2: Describe the capabilities of Microsoft Identity and access management solutions ,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,sc-900,SC-900 part 2: Describe the capabilities of Microsoft Identity and access management solutions,4.0,"5,097","91,379",29.93%,"4,210","1,260","1,380",4173,42.03463148,"1,322",88.0,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner
14,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,SC-900 part 4: Describe the capabilities of Microsoft compliance solutions ,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,sc-900,SC-900 part 4: Describe the capabilities of Microsoft compliance solutions,5.0,"7,107","109,283",28.75%,"3,204",921,982,4173,28.37456029,"1,230",147.0,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner
15,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,SC-200 part 4: Create queries for Azure Sentinel using Kusto Query Language (KQL) ,https://docs.microsoft.com/en-us/learn/paths/sc-200-utilize-kql-for-azure-sentinel/,4,sc-200,SC-200 part 4: Create queries for Azure Sentinel using Kusto Query Language (KQL),4.0,"2,698","23,159",9.48%,"1,940",184,206,4173,16.21913146,667,123.0,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
16,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,SC-200 part 8: Perform threat hunting in Azure Sentinel ,https://docs.microsoft.com/en-us/learn/paths/sc-200-perform-threat-hunting-azure-sentinel/,3,sc-200,SC-200 part 8: Perform threat hunting in Azure Sentinel,3.0,"1,045","7,941",24.39%,615,150,164,4173,16.31682616,478,116.0,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
17,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,SC-200 part 1: Mitigate threats using Microsoft Defender for Endpoint ,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-defender-for-endpoint/,10,sc-200,SC-200 part 1: Mitigate threats using Microsoft Defender for Endpoint,10.0,"6,914","76,438",6.05%,"4,497",272,305,4173,27.13438434,"1,420",406.0,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,security-operations-analyst,windows,intermediate
18,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,SC-200 part 2: Mitigate threats using Microsoft 365 Defender ,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-365-defender/,8,sc-200,SC-200 part 2: Mitigate threats using Microsoft 365 Defender,8.0,"6,068","60,438",18.35%,"1,390",255,281,4173,23.21934465,735,374.0,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,security-operations-analyst,m365,intermediate
19,learn.wwl.sc-200-mitigate-threats-using-azure-defender,SC-200 part 3: Mitigate threats using Azure Defender ,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-azure-defender/,5,sc-200,SC-200 part 3: Mitigate threats using Azure Defender,5.0,"1,197","14,692",16.81%,934,157,175,4173,31.572445000000002,610,239.0,learn.wwl.sc-200-mitigate-threats-using-azure-defender,security-operations-analyst,azure;azure-security-center,intermediate
20,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,SC-200 part 7: Create detections and perform investigations using Azure Sentinel ,https://docs.microsoft.com/en-us/learn/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,5,sc-200,SC-200 part 7: Create detections and perform investigations using Azure Sentinel,5.0,"2,221","19,922",25.94%,609,158,178,4173,24.06115113,495,262.0,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
21,learn.wwl.sc-200-connect-logs-to-azure-sentinel,SC-200 part 6: Connect logs to Azure Sentinel ,https://docs.microsoft.com/en-us/learn/paths/sc-200-connect-logs-to-azure-sentinel/,7,sc-200,SC-200 part 6: Connect logs to Azure Sentinel,7.0,923,"14,622",28.05%,574,161,180,4173,23.40222102,477,164.0,learn.wwl.sc-200-connect-logs-to-azure-sentinel,security-operations-analyst,azure;azure-log-analytics;azure-sentinel,intermediate
22,learn.wwl.sc-200-configure-your-azure-sentinel-environment,SC-200 part 5: Configure your Azure Sentinel environment ,https://docs.microsoft.com/en-us/learn/paths/sc-200-configure-azure-sentinel-environment/,5,sc-200,SC-200 part 5: Configure your Azure Sentinel environment,5.0,"3,241","28,527",18.41%,"1,135",209,232,4173,17.33952998,617,114.0,learn.wwl.sc-200-configure-your-azure-sentinel-environment,security-operations-analyst,azure;azure-sentinel,intermediate
23,learn.wwl.plan-implement-identity-governance-strategy,SC-300 part 4: Plan and implement an identity governance strategy ,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,sc-300,SC-300 part 4: Plan and implement an identity governance strategy,4.0,"1,536","15,195",13.93%,"1,113",155,179,4173,21.44775391,573,189.0,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
24,learn.wwl.implement-identity-management-solution,SC-300 part 1: Implement an identity management solution ,https://docs.microsoft.com/en-us/learn/paths/implement-identity-management-solution/,4,sc-300,SC-300 part 1: Implement an identity management solution,4.0,"5,250","57,353",8.58%,"3,929",337,387,4173,33.427774600000006,"1,084",218.0,learn.wwl.implement-identity-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
25,learn.wwl.implement-authentication-access-management-solution,SC-300 part 2: Implement an Authentication and Access Management solution ,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,sc-300,SC-300 part 2: Implement an Authentication and Access Management solution,4.0,"3,978","35,316",15.91%,"1,578",251,293,4173,21.21873638,668,191.0,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
26,learn.wwl.implement-access-management-for-apps,SC-300 part 3: Implement Access Management for Apps ,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,sc-300,SC-300 part 3: Implement Access Management for Apps,3.0,"1,406","13,762",16.27%,"1,131",184,214,4173,27.05093646,603,127.0,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
27,learn.wwl.implement-information-protection,SC-400 part 1: Implement Information Protection in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/implement-information-protection/,8,sc-400,SC-400 part 1: Implement Information Protection in Microsoft 365,8.0,"3,277","31,149",7.20%,"1,779",128,143,4173,24.83014444,740,299.0,learn.wwl.implement-information-protection,auditor;ip-admin;risk-practitioner,m365-information-protection,intermediate
28,learn.wwl.implement-information-governance,SC-400 part 3: Implement Information Governance in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,sc-400,SC-400 part 3: Implement Information Governance in Microsoft 365,3.0,905,"7,589",13.91%,604,84,91,4173,23.12543278,458,157.0,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate
29,learn.wwl.implement-data-loss-prevention,SC-400 part 2: Implement Data Loss Prevention ,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,sc-400,SC-400 part 2: Implement Data Loss Prevention,3.0,"1,153","9,035",14.15%,728,103,108,4173,19.20067939,484,118.0,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate
30,learn-m365.microsoft-365-get-modern,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus ,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-100,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus,9.0,"7,880","78,331",8.10%,"5,707",462,531,4173,19.37130499,"7,724",229.0,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate
31,learn-m365.microsoft-365-get-modern,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus ,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-101,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus,9.0,"7,880","78,331",8.10%,"5,707",462,531,4173,19.37130499,"7,724",229.0,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate
32,learn.endpoint-manager-fundamentals,Microsoft Endpoint Manager fundamentals ,https://docs.microsoft.com/en-us/learn/paths/endpoint-manager-fundamentals/,7,md-101,Microsoft Endpoint Manager fundamentals,7.0,"6,353","72,150",6.49%,"4,886",317,366,4173,25.00318485,"1,586",177.0,learn.endpoint-manager-fundamentals,administrator,mem,beginner
33,learn-m365.manage-enterprise-deployment-m365,Manage your enterprise deployment with Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/manage-enterprise-deployment-m365/,6,md-101,Manage your enterprise deployment with Microsoft 365,6.0,"5,541","41,423",11.35%,"3,241",368,416,4173,18.21712386,"5,349",157.0,learn-m365.manage-enterprise-deployment-m365,administrator,m365,beginner
34,learn-m365.m365-messaging-secure-environment,Secure the Microsoft 365 Messaging environment ,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-secure-environment/,3,ms-203,Secure the Microsoft 365 Messaging environment,3.0,980,"8,507",17.57%,723,127,141,4173,19.62001701,950,101.0,learn-m365.m365-messaging-secure-environment,administrator,m365;office-365;office-exchange-server,intermediate
35,learn-m365.m365-messaging-hybrid-migration,Plan a Microsoft 365 Messaging hybrid configuration and migration ,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-hybrid-migration/,3,ms-203,Plan a Microsoft 365 Messaging hybrid configuration and migration,3.0,"1,852","15,065",10.04%,"1,424",143,153,4173,21.30171886,964,84.0,learn-m365.m365-messaging-hybrid-migration,administrator,m365;office-365;office-exchange-server,intermediate
36,learn-m365.m365-messaging-architecture,Manage Microsoft 365 messaging organizational settings and architecture ,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-architecture/,7,ms-203,Manage Microsoft 365 messaging organizational settings and architecture,7.0,"1,838","21,402",12.06%,995,120,138,4173,28.37500907,"1,034",211.0,learn-m365.m365-messaging-architecture,administrator,m365;office-365;office-exchange-server,intermediate
37,learn-m365.msteams-associate,Develop apps for Microsoft Teams – Associate ,https://docs.microsoft.com/en-us/learn/paths/m365-msteams-associate/,8,ms-600,Develop apps for Microsoft Teams – Associate,8.0,"6,104","35,022",5.21%,"1,671",87,92,4173,13.83598187,"2,839",559.0,learn-m365.msteams-associate,developer,m365;office-teams,intermediate
38,learn-m365.msgraph-associate,Build apps with Microsoft Graph – Associate ,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,ms-600,Build apps with Microsoft Graph – Associate,7.0,"3,818","26,380",5.55%,"1,297",72,85,4173,17.11468919,"1,860",461.0,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate
39,learn-m365.m365-extend-fundamental,Extend Microsoft 365 – Fundamental ,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,ms-600,Extend Microsoft 365 – Fundamental,4.0,"6,795","41,692",5.56%,"4,298",239,264,4173,14.93424086,"5,422",169.0,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner
40,learn-m365.identity-associate,Implement Microsoft identity – Associate ,https://docs.microsoft.com/en-us/learn/paths/m365-identity-associate/,5,ms-600,Implement Microsoft identity – Associate,5.0,"2,807","17,052",7.60%,"1,092",83,95,4173,18.03430709,"2,117",342.0,learn-m365.identity-associate,developer,m365;azure-active-directory,intermediate
41,learn.wwl.prepare-environment-for-microsoft-teams-deployment,Prepare the environment for a Microsoft Teams deployment ,https://docs.microsoft.com/en-us/learn/paths/prepare-environment-for-microsoft-teams-deployment/,5,ms-700,Prepare the environment for a Microsoft Teams deployment,5.0,175,"3,772",24.44%,135,33,35,4173,10.63609524,62,243.0,learn.wwl.prepare-environment-for-microsoft-teams-deployment,administrator,m365;office-teams,intermediate
42,learn.wwl.manage-meetings-calling-microsoft-teams,Manage meetings and calling in Microsoft Teams ,https://docs.microsoft.com/en-us/learn/paths/manage-meetings-calling-microsoft-teams/,5,ms-700,Manage meetings and calling in Microsoft Teams,5.0,172,"2,607",22.32%,112,25,28,4173,9.770542636,86,276.0,learn.wwl.manage-meetings-calling-microsoft-teams,administrator,m365;office-teams,intermediate
43,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,"Manage chat, teams, channels, and apps in Microsoft Teams ",https://docs.microsoft.com/en-us/learn/paths/manage-chat-teams-channels-apps-microsoft-teams/,3,ms-700,"Manage chat, teams, channels, and apps in Microsoft Teams",3.0,142,"1,539",19.63%,107,21,22,4173,7.1494131460000006,85,153.0,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,administrator,m365;office-teams,intermediate
44,learn.wwl.get-started-managing-microsoft-teams,Get started with managing Microsoft Teams ,https://docs.microsoft.com/en-us/learn/paths/get-started-managing-microsoft-teams/,4,ms-700,Get started with managing Microsoft Teams,4.0,426,"4,960",10.80%,352,38,40,4173,16.80473396,149,206.0,learn.wwl.get-started-managing-microsoft-teams,administrator,m365;office-teams,intermediate
45,learn.wwl.plan-implement-identity-synchronization,Plan and implement identity synchronization ,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-synchronization/,5,ms-100,Plan and implement identity synchronization,5.0,348,"2,361",11.63%,129,15,16,4173,21.171743300000003,113,146.0,learn.wwl.plan-implement-identity-synchronization,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
46,learn.wwl.manage-your-microsoft-365-tenant,Manage your Microsoft 365 tenant ,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-tenant/,5,ms-100,Manage your Microsoft 365 tenant,5.0,371,"2,822",9.38%,192,18,20,4173,13.59555256,163,184.0,learn.wwl.manage-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
47,learn.wwl.implement-applications-external-access-azure-ad,Implement applications and external access in Azure AD ,https://docs.microsoft.com/en-us/learn/paths/implement-applications-external-access-azure-ad/,3,ms-100,Implement applications and external access in Azure AD,3.0,153,835,10.53%,95,10,11,4173,10.3369281,90,92.0,learn.wwl.implement-applications-external-access-azure-ad,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
48,learn.wwl.explore-microsoft-365-platform-services,Explore the Microsoft 365 platform services ,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,ms-100,Explore the Microsoft 365 platform services,8.0,"1,376","9,011",4.70%,383,18,22,4173,16.32440649,211,268.0,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
49,learn.wwl.design-your-microsoft-365-tenant,Design your Microsoft 365 tenant ,https://docs.microsoft.com/en-us/learn/paths/design-microsoft-365-tenant/,6,ms-100,Design your Microsoft 365 tenant,6.0,359,"2,685",12.58%,151,19,16,4173,16.3628598,184,245.0,learn.wwl.design-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
50,learn.wwl.configure-your-microsoft-365-tenant,Configure your Microsoft 365 tenant ,https://docs.microsoft.com/en-us/learn/paths/configure-your-microsoft-365-tenant/,6,ms-100,Configure your Microsoft 365 tenant,6.0,361,"2,569",12.18%,156,19,19,4173,13.02308403,151,146.0,learn.wwl.configure-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
51,learn.wwl.prepare-for-device-management-microsoft-365,Prepare for device management in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/prepare-for-device-management-microsoft-365/,5,ms-101,Prepare for device management in Microsoft 365,5.0,278,"1,635",9.52%,105,10,11,4173,9.979076739,100,142.0,learn.wwl.prepare-for-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
52,learn.wwl.plan-your-windows-10-deployment-strategy,Plan your Windows 10 deployment strategy ,https://docs.microsoft.com/en-us/learn/paths/plan-your-windows-10-deployment-strategy/,5,ms-101,Plan your Windows 10 deployment strategy,5.0,273,"1,538",6.90%,116,8,9,4173,10.15848596,64,161.0,learn.wwl.plan-your-windows-10-deployment-strategy,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
53,learn.wwl.manage-your-microsoft-365-security-services,Manage your Microsoft 365 security services ,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-security-services/,5,ms-101,Manage your Microsoft 365 security services,5.0,312,"2,484",12.22%,180,22,22,4173,15.70892094,172,156.0,learn.wwl.manage-your-microsoft-365-security-services,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
54,learn.wwl.manage-data-governance-microsoft-365,Manage data governance in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/manage-data-governance-microsoft-365/,5,ms-101,Manage data governance in Microsoft 365,5.0,139,"1,038",15.07%,73,11,11,4173,13.20323741,84,155.0,learn.wwl.manage-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
55,learn.wwl.manage-content-search-investigations-microsoft-365,Manage content search and investigations in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/manage-content-search-investigations-microsoft-365/,3,ms-101,Manage content search and investigations in Microsoft 365,3.0,179,928,8.99%,89,8,8,4173,8.27113594,71,112.0,learn.wwl.manage-content-search-investigations-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
56,learn.wwl.introduction-to-microsoft-365-security-metrics,Explore security metrics in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/introduction-to-microsoft-365-security-metrics/,6,ms-101,Explore security metrics in Microsoft 365,6.0,527,"3,600",13.87%,137,19,20,4173,11.02466793,119,194.0,learn.wwl.introduction-to-microsoft-365-security-metrics,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
57,learn.wwl.introduction-to-data-governance-microsoft-365,Explore data governance in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,ms-101,Explore data governance in Microsoft 365,6.0,365,"2,265",6.94%,144,10,10,4173,14.11465753,108,225.0,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
58,learn.wwl.implement-mobile-device-management-microsoft-365,Implement Mobile Device Management in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/implement-mobile-device-management-microsoft-365/,4,ms-101,Implement Mobile Device Management in Microsoft 365,4.0,259,"1,901",14.29%,147,21,21,4173,12.37181467,101,126.0,learn.wwl.implement-mobile-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
59,learn.wwl.implement-microsoft-365-threat-intelligence,Implement threat intelligence in Microsoft 365 ,https://docs.microsoft.com/en-us/learn/paths/implement-microsoft-365-threat-intelligence/,4,ms-101,Implement threat intelligence in Microsoft 365,4.0,238,"1,632",12.04%,108,13,14,4173,15.25735294,92,148.0,learn.wwl.implement-microsoft-365-threat-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
60,learn.wwl.implement-data-governance-microsoft-365-intelligence,Implement data governance in Microsoft 365 intelligence ,https://docs.microsoft.com/en-us/learn/paths/implement-data-governance-microsoft-365-intelligence/,7,ms-101,Implement data governance in Microsoft 365 intelligence,7.0,148,"1,438",11.94%,67,8,9,4173,9.465315315,71,203.0,learn.wwl.implement-data-governance-microsoft-365-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
