Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
AI business school for healthcare,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-healthcare/,12,"4,984","42,248",8.03%,436,35,40,2559,15.49065677,"1,502",571,learn.ai-business-school-healthcare,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for manufacturing,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-manufacturing/,12,"4,894","41,772",8.28%,459,38,43,2559,15.78988898,"1,458",572,learn.ai-business-school-manufacturing,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for retail,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-retail/,12,"4,745","41,568",12.64%,261,33,36,2559,16.38133825,"1,344",571,learn.ai-business-school-retail,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI edge engineer,https://docs.microsoft.com/en-us/learn/paths/ai-edge-engineer/,17,"5,488","223,377",48.30%,"1,915",925,852,2559,23.72813107,"2,550",1050,learn.ai-edge-engineer,ai-engineer;data-scientist,azure;azure-iot;azure-notebooks;azure-cloud-shell;azure-container-instances;azure-container-registry;azure-iot-edge;azure-iot-hub;azure-machine-learning;azure-resource-manager;azure-virtual-machines,beginner
Analyze insights in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/paths/analyze-marketing-insights/,2,378,"2,653",16.30%,276,45,48,2559,12.79448854,630,113,learn-dynamics.analyze-marketing-insights,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate
Architect a data platform in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,8,"42,811","448,285",7.77%,"3,204",249,264,2559,26.31717277,"8,409",390,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate
Architect API integration in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,"9,249","83,068",12.73%,"2,499",318,369,2559,23.3988305,"6,170",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate
Architect compute infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,"82,255","813,711",10.33%,"4,173",431,367,2559,34.95570583,"9,913",434,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate
Architect infrastructure operations in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,"42,533","516,762",39.08%,"2,848","1,113","1,180",2559,32.91907734,"9,186",240,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate
Architect message brokering and serverless applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,"16,136","242,029",11.67%,"1,980",231,266,2559,45.18699492,"5,589",380,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate
"Architect migration, business continuity, and disaster recovery in Azure",https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,"17,157","177,940",20.16%,"2,272",458,435,2559,23.214378,"7,633",440,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate
Architect modern applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-modern-apps/,7,"27,462","289,566",12.84%,"2,437",313,355,2559,18.69920132,"7,245",321,learn.architect-modern-apps,solution-architect,azure;azure-kubernetes-service;azure-container-instances;azure-app-service;azure-cache-redis,intermediate
Architect network infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,"24,521","317,444",3.67%,"14,047",516,577,2559,39.01067248,"15,064",564,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate
Architect secure infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-secure-infrastructure/,8,"14,240","170,662",21.55%,413,89,95,2559,22.41583684,"2,762",397,learn.architect-secure-infrastructure,solution-architect,azure;azure-virtual-machines;azure-resource-manager;azure-application-gateway;azure-key-vault;azure-sql-database,intermediate
Architect solutions for Dynamics 365 and Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/paths/become-solution-architect/,5,"3,533","21,693",5.35%,"2,243",120,137,2559,19.76944995,"3,583",237,learn-dynamics.become-solution-architect,solution-architect,dynamics-365;power-platform,advanced
Architect storage infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,9,"28,874","509,610",13.40%,"4,053",543,601,2559,38.0798677,"9,586",357,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate
Assemble items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/assemble-items-dynamics-365-business-central/,4,208,"1,831",17.65%,119,21,21,2559,25.16522436,351,146,learn-dynamics.assemble-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Automate a business process using Power Automate,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,5,"34,353","198,637",4.86%,"16,369",796,777,2559,15.62090065,"10,556",294,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner
Automate administrative tasks by using PowerShell,https://docs.microsoft.com/en-us/learn/paths/powershell/,6,"20,978","183,407",5.33%,"3,489",186,223,2559,23.70403121,"1,489",177,learn.powershell,student;administrator;developer,vs-code,beginner
Automate processes with Robotic Process Automation and Power Automate Desktop,https://docs.microsoft.com/en-us/learn/paths/work-automation-flow/,8,"9,815","69,991",8.16%,"2,156",176,193,2559,12.22124979,331,125,learn-bizapps.work-automation-flow,maker;business-user,power-platform;power-automate,intermediate
Automate tasks in SQL Server,https://docs.microsoft.com/en-us/learn/paths/automate-tasks-sql-server/,3,"1,452","6,847",6.52%,"1,211",79,87,2559,10.24923095,"1,617",144,learn.wwl.automate-tasks-sql-server,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate
Automate your workflow with GitHub Actions,https://docs.microsoft.com/en-us/learn/paths/automate-workflow-github-actions/,6,"14,456","109,164",62.81%,"1,288",809,895,2559,12.07471062,"2,080",313,learn.automate-workflow-github-actions,devops-engineer;administrator;developer;solution-architect,github;azure,beginner;intermediate
AZ-104: Configure and manage virtual networks for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-virtual-networks/,15,"15,180","339,004",9.33%,"7,478",698,723,2559,53.24571146,"7,359",480,learn.az-104-manage-virtual-networks,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-dns;azure-vpn-gateway;azure-expressroute;azure-application-gateway;azure-load-balancer;azure-bastion;azure-firewall;azure-virtual-desktop,beginner
AZ-104: Deploy and manage Azure compute resources,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-compute-resources/,11,"31,688","430,879",9.82%,"6,765",664,704,2559,25.65895502,"6,820",379,learn.az-104-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner
AZ-104: Implement and manage storage in Azure,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-storage/,9,"23,164","396,587",12.27%,"8,191","1,005","1,025",2559,38.46867265,"6,839",284,learn.az-104-manage-storage,administrator,azure;azure-storage;azure-storage-accounts;azure-storage-explorer;azure-blob-storage;azure-files;azure-virtual-machines,beginner
AZ-104: Manage identities and governance in Azure,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-identities-governance/,8,"26,340","395,118",13.16%,"13,507","1,778","1,802",2559,32.7668084,"8,638",247,learn.az-104-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner
AZ-104: Monitor and back up Azure resources,https://docs.microsoft.com/en-us/learn/paths/az-104-monitor-backup-resources/,9,"10,489","171,689",14.83%,"4,816",714,788,2559,33.65303651,"5,514",290,learn.az-104-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner
AZ-104: Prerequisites for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/az-104-administrator-prerequisites/,6,"44,819","547,352",5.95%,"31,717","1,887","1,848",2559,27.4135125,"17,119",220,learn.az104-admin-prerequisites,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-clis;azure-active-directory;azure-container-instances;azure-container-registry;azure-storage,beginner
AZ-204: Create Azure App Service web apps,https://docs.microsoft.com/en-us/learn/paths/create-azure-app-service-web-apps/,4,419,"3,143",6.16%,276,17,20,2559,15.27501989,26,108,learn.wwl.create-azure-app-service-web-apps,developer,azure;azure-app-service,intermediate
AZ-204: Implement Azure Functions,https://docs.microsoft.com/en-us/learn/paths/implement-azure-functions/,3,511,"2,811",7.14%,364,26,33,2559,11.7264514,34,83,learn.wwl.implement-azure-functions,developer,azure;azure-functions,intermediate
AZ-400: Define and implement continuous integration,https://docs.microsoft.com/en-us/learn/paths/az-400-define-implement-continuous-integration/,11,"17,003","133,612",3.82%,"2,828",108,102,2559,24.47246368,"2,143",686,learn.az-400-define-implement-continuous-integration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops;azure-virtual-machines;azure-automation,beginner
AZ-400: Develop a security and compliance plan,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,11,"62,704","803,429",8.65%,"2,047",177,184,2559,35.91937808,"2,501",428,learn.az-400-develop-security-compliance-plan,devops-engineer;administrator;developer;solution-architect;security-engineer,azure;azure-active-directory;azure-key-vault;azure-api-management;azure-monitor,beginner
AZ-400: Develop a Site Reliability Engineering (SRE) strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-sre-strategy/,8,"13,920","146,060",5.42%,"2,822",153,175,2559,24.66375,"1,728",466,learn.az-400-develop-sre-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-monitor;azure-load-balancer;azure-virtual-machines,beginner
AZ-400: Develop an instrumentation strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-instrumentation-strategy/,11,"27,339","274,427",3.58%,"6,362",228,219,2559,26.35939196,"2,809",497,learn.az-400-develop-instrumentation-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-portal;azure-resource-manager;azure-application-insights;azure-monitor;azure-event-grid;azure-sentinel;azure-security-center;azure-service-health;vs-app-center;azure-virtual-machines;azure-app-service;azure-container-instances;azure-functions;azure-kubernetes-service;azure-logic-apps,beginner
AZ-400: Facilitate communication and collaboration,https://docs.microsoft.com/en-us/learn/paths/az-400-facilitate-communication-collaboration/,6,"28,016","230,907",13.05%,"1,785",233,246,2559,24.19881318,"1,853",147,learn.az-400-facilitate-communication-collaboration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops,beginner
AZ-400: Manage source control,https://docs.microsoft.com/en-us/learn/paths/az-400-manage-source-control/,15,"15,539","151,050",14.68%,"2,513",369,390,2559,15.52329944,"2,372",854,learn.az-400-manage-source-control,devops-engineer;administrator;developer;solution-architect,azure;github,beginner
AZ-700 Designing and Implementing Microsoft Azure Networking Solutions,https://docs.microsoft.com/en-us/learn/paths/design-implement-microsoft-azure-networking-solutions-az-700/,8,"6,423","45,604",1.66%,"5,166",86,100,2559,32.57285017,706,567,learn.wwl.designing-implementing-microsoft-azure-networking-solutions-az-700,administrator;network-engineer,azure-application-gateway;azure-dns;azure-expressroute;azure-firewall;azure-firewall-manager;azure-front-door;azure-load-balancer;azure-network-watcher;azure-private-link;azure-traffic-manager;azure-virtual-network;azure-virtual-wan;azure-vpn-gateway,intermediate
Azure Data Fundamentals: Explore core data concepts,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-core-data-concepts/,5,"26,221","361,138",15.36%,"21,616","3,320","3,839",2559,48.71335444,"11,129",99,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,administrator;business-user;data-engineer;student,azure,beginner
Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,4,"98,691","481,650",25.00%,"8,313","2,078","2,352",2559,13.45195982,"5,498",111,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner
Azure Data Fundamentals: Explore non-relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,"8,588","123,669",25.50%,"7,019","1,790","2,000",2559,52.03003998,"4,713",144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner
Azure Data Fundamentals: Explore relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-relational-data/,3,"11,987","171,790",24.08%,"8,852","2,132","2,474",2559,48.56620645,"5,496",87,learn.wwl.azure-data-fundamentals-explore-relational-data,administrator;business-user;data-engineer;student,azure,beginner
Azure Database for PostgreSQL,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-postgres/,3,921,"5,578",5.62%,267,15,17,2559,14.39629026,282,115,learn.azure.azure-database-for-postgresql,administrator;developer;solution-architect;student,azure;azure-database-postgresql,beginner
Azure for Researchers part 1: Introduction to Cloud Computing,https://docs.microsoft.com/en-us/learn/paths/researcher-introduction-to-cloud-computing/,9,"226,639","3,367,603",13.19%,"7,993","1,054","1,180",2559,44.52560335,617,350,learn.researcher-introduction-to-cloud-computing,student;school-leader;higher-ed-educator;data-scientist,azure;azure-storage;azure-virtual-machines,beginner
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,"51,933","755,013",237.54%,349,829,939,2559,41.63314688,109,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner
Azure for the Data Engineer,https://docs.microsoft.com/en-us/learn/paths/azure-for-the-data-engineer/,3,"15,588","148,525",12.07%,"13,667","1,649","1,851",2559,32.06453575,"11,640",111,learn.data-ai.azure-for-the-data-engineer,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner
Azure Fundamentals part 1: Describe core Azure concepts (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-cloud-concepts/,3,"266,427","2,667,373",18.99%,"147,113","27,932","31,964",2559,30.57318621,"67,046",101,learn.az-900-describe-cloud-concepts,administrator;solution-architect;developer;student,azure;azure-resource-manager;azure-functions,beginner
Azure Fundamentals part 2: Describe core Azure services (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-azure-services/,4,"113,789","1,694,786",17.90%,"85,386","15,280","17,352",2559,45.87949157,"32,576",160,learn.az-900-describe-core-azure-services,administrator;solution-architect;developer;student,azure;azure-app-service;azure-blob-storage;azure-container-instances;azure-container-registry;azure-cosmos-db;azure-databricks;azure-data-lake;azure-expressroute;azure-files;azure-hdinsight;azure-kubernetes-service;azure-sql-database;azure-storage;azure-storage-accounts;azure-synapse-analytics;azure-virtual-machines;azure-virtual-network;azure-vpn-gateway,beginner
Azure Fundamentals part 3: Describe core solutions and management tools on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-solutions-management-tools-azure/,6,"59,078","1,290,966",24.74%,"50,591","12,516","14,098",2559,44.33203618,"26,858",140,learn.az-900-describe-core-solutions-management-tools-azure,administrator;developer;business-owner;student;technology-manager,azure;azure-cognitive-services;azure-machine-learning;azure-bot-service;azure-devops;azure-advisor;azure-monitor;azure-service-health;azure-portal;azure-clis;azure-resource-manager;azure-functions;azure-logic-apps;azure;azure-iot-hub;azure-iot-central,beginner
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,"55,724","619,864",35.07%,"36,483","12,793","14,596",2559,30.79385842,"22,587",59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner
"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,"51,537","752,200",31.62%,"33,577","10,616","12,181",2559,38.11960663,"21,686",92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner
Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,"38,507","398,147",35.42%,"29,254","10,363","11,730",2559,28.09882835,"18,887",70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner
Azure SQL fundamentals,https://docs.microsoft.com/en-us/learn/paths/azure-sql-fundamentals/,6,"10,225","74,569",2.19%,"8,182",179,205,2559,27.62718337,"5,860",434,learn.azure-sql-fundamentals,database-administrator;administrator;solution-architect,azure;azure-sql-database,beginner
Azure Stack HCI foundations,https://docs.microsoft.com/en-us/learn/paths/azure-stack-hci-foundations/,4,"1,427","9,284",9.34%,824,77,88,2559,21.58343845,425,179,learn.azure-stack-hci-foundations,administrator;ai-edge-engineer;business-owner;data-engineer;database-administrator;devops-engineer;privacy-manager;security-engineer;solution-architect;student;technology-manager,azure-stack-hci;azure-stack-hub;azure-stack-edge,beginner
Azure Static Web Apps,https://docs.microsoft.com/en-us/learn/paths/azure-static-web-apps/,5,"5,595","23,301",0.95%,"1,153",11,11,2559,10.06140304,588,138,learn.azure-static-web-apps,developer;solution-architect;student,azure;azure-app-service;azure-app-service-static,beginner
Beginners data science for Python developers,https://docs.microsoft.com/en-us/learn/paths/beginners-python-data-science/,3,3,27,Infinity,,1,1,2559,0.638888889,4,100,learn.reactors.beginners-python-data-science,developer;student;data-scientist,azure;vs-code,beginner
Best practices for Azure migration,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,261,"1,800",28.57%,21,6,7,2559,14.75606641,7,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,"71,074","455,223",73.97%,388,287,318,2559,20.60099544,826,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner
Bring AI to your business with AI Builder,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,"3,713","21,736",29.99%,"1,667",500,560,2559,10.55659395,"1,960",47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner
Build .NET applications with C#,https://docs.microsoft.com/en-us/learn/paths/build-dotnet-applications-csharp/,6,"42,963","311,267",2.36%,"17,047",402,486,2559,18.7966413,"3,994",184,learn.build-dotnet-applications-csharp,developer,dotnet,beginner
Build a QnA solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,652,"6,215",37.40%,615,230,271,2559,16.23059816,69,36,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services;azure-qna-maker,intermediate
Build and operate machine learning solutions with Azure Databricks,https://docs.microsoft.com/en-us/learn/paths/build-operate-machine-learning-solutions-azure-databricks/,8,"2,052","30,154",9.88%,"1,639",162,195,2559,31.58923002,80,180,learn.wwl.build-operate-machine-learning-solutions-azure-databricks,data-scientist,azure-databricks;azure-machine-learning,intermediate
Build and operate machine learning solutions with Azure Machine Learning,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,15,"7,409","123,665",6.85%,"4,858",333,403,2559,39.30876187,"8,367",647,learn.data-ai.build-ai-solutions-with-azure-ml-service,data-scientist;student,azure;azure-machine-learning;azure-portal,intermediate
Build applications with Azure DevOps,https://docs.microsoft.com/en-us/learn/paths/build-applications-with-azure-devops/,5,"10,832","79,837",8.15%,"3,620",295,330,2559,24.80684546,"6,932",363,learn.azdo.build-applications-with-azure-devops,devops-engineer;administrator;developer,azure;azure-devops,intermediate
Build apps with Microsoft Graph – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,"3,555","24,504",5.75%,"1,201",69,78,2559,20.89423347,"1,886",461,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate
Build automated workflows to integrate data and apps with Azure Logic Apps,https://docs.microsoft.com/en-us/learn/paths/build-workflows-with-logic-apps/,4,"3,355","25,715",8.96%,937,84,92,2559,23.38320417,"2,087",169,learn.build-workflows-with-logic-apps,developer,azure;azure-portal;azure-logic-apps,beginner;intermediate
Build Azure infrastructure in a team environment by using Bicep,https://docs.microsoft.com/en-us/learn/paths/bicep-collaborate/,5,"1,098","8,475",4.68%,641,30,35,2559,22.43541287,30,189,learn.bicep-collaborate,developer;administrator;solution-architect,azure;azure-resource-manager,intermediate
Build community-driven software projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/build-community-driven-projects-github/,7,"11,085","58,544",27.88%,330,92,100,2559,9.608147647,765,361,learn.build-community-driven-projects-github,devops-engineer;developer;solution-architect,github,beginner
Build custom connectors for Power Automate,https://docs.microsoft.com/en-us/learn/paths/build-custom-connectors/,7,900,"7,469",12.24%,384,47,52,2559,16.54055556,174,259,learn-bizapps.build-custom-connectors,maker,power-platform;power-automate,intermediate
Build data analytics solutions using Azure Synapse serverless SQL pools,https://docs.microsoft.com/en-us/learn/paths/build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools/,6,"1,100","12,491",22.32%,439,98,117,2559,22.14036364,339,164,learn.wwl.build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools,data-engineer,azure-synapse-analytics,intermediate
Build expertise with Power Automate Desktop,https://docs.microsoft.com/en-us/learn/paths/pad-build-expertise/,5,"2,401","10,781",13.59%,449,61,66,2559,9.675093711,345,156,learn-bizapps.pad-build-expertise,maker;developer;functional-consultant,power-platform;power-automate,advanced
Build expertise with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/advanced-winautomation/,7,369,"2,249",17.32%,127,22,22,2559,7.557407407,185,217,learn-bizapps.advanced-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,advanced
Build Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/build-finance-operations/,12,"3,238","43,137",7.12%,"1,095",78,90,2559,41.64240272,"1,165",805,learn-dynamics.build-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,beginner
Build great solutions with the Microsoft Azure Well-Architected Framework,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/,6,"23,840","169,655",7.46%,"7,933",592,664,2559,26.56331306,"4,276",338,learn.azure-well-architected-framework,solution-architect,azure;azure-storage;azure-sql-database;azure-cosmos-db;azure-cost-management;azure-advisor;azure-monitor;azure-cdn;azure-active-directory;azure-virtual-machines;azure-app-service;azure-resource-manager;azure-site-recovery;azure-backup;azure-expressroute,beginner
Build JavaScript applications by using TypeScript,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-typescript/,8,"3,250","21,756",2.79%,"1,290",36,52,2559,20.73180513,789,376,learn.build-javascript-applications-typescript,student;developer,vs-code,intermediate
Build JavaScript applications with Node.js,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-nodejs/,6,"8,474","38,537",1.65%,"2,917",48,52,2559,11.64184761,"2,439",171,learn.build-javascript-applications-nodejs,developer;student,azure,beginner
